"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H004_ai_param_robustness"
"07/03/2026 09:47:05:545 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"23","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","216","50.54281244434412","36.07465975271717","0.20041477640398425","36.07465975271717","0","0.20041477640398425","0","26.56537327440991","26.56537327440991","0","0","1872.1195111998538","1872.1195111998538","0","0","0.04077570139424913","0","0","0","0","0","0","0","0.10448241300427476","100","0","1","1","0","0"
"20","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","99.76663408701639","43.43518148625344","0.2413065638125191","43.43518148625344","0","0.2413065638125191","0","3617.3864399951813","3617.3864399951813","0","0","1401.1181951302801","1401.1181951302801","0","0","0.020552916488902673","1","1","0","1","1","0","100","0.08475945777005553","100","0","1","1","0","0"
"24","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","784","63.1557467506131","33.21824908502696","0.18454582825014978","33.21824908502696","0","0.18454582825014978","0","26.400106035270355","26.400106035270355","0","0","1757.3113872600713","1757.3113872600713","0","0","0.03814051880157421","0","0","0","0","0","0","0","0.08020333180526328","100","0","1","1","0","0"
"26","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","2066","85.72979838455608","48.19353504286765","0.26774186134926475","48.19353504286765","0","0.26774186134926475","0","51.24012708966527","51.24012708966527","0","0","1490.8850824113788","1490.8850824113788","0","0","0.021473406271113937","0","0","0","0","0","0","0","0.0887788398100656","100","0","1","1","0","0"
"25","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","778","53.5975045470867","26.755059173758106","0.14863921763198948","26.755059173758106","0","0.14863921763198948","0","26.614088214852753","26.614088214852753","0","0","1612.3582619338067","1612.3582619338067","0","0","0.03536900944837895","0","0","0","0","0","0","0","0.07696571880169192","100","0","1","1","0","0"
"27","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","360","62.85880895707587","43.268044588073664","0.24037802548929812","43.268044588073664","0","0.24037802548929812","0","26.391773980208686","26.391773980208686","0","0","1797.3121897459457","1797.3121897459457","0","0","0.042344559786505975","0","0","0","0","0","0","0","0.09098672128929462","100","0","1","1","0","0"
"28","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","280","57.051215006132686","34.47574699345202","0.1915319277414001","34.47574699345202","0","0.1915319277414001","0","26.63086716344295","26.63086716344295","0","0","1773.4519354857784","1773.4519354857784","0","0","0.03559203083875917","0","0","0","0","0","0","0","0.0902603190747537","100","0","1","1","0","0"
"30","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","113.08554375919113","38.69461542032518","0.2149700856684732","38.69461542032518","0","0.2149700856684732","0","3626.9197064733708","3626.9197064733708","0","0","1507.1050372199504","1507.1050372199504","0","0","0.01871164867182573","1","1","0","1","1","0","100","0.07519570599954724","100","0","1","1","0","0"
"31","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","60.068985045601394","39.12032331173","0.2173351295096111","39.12032331173","0","0.2173351295096111","0","3625.798240639377","3625.798240639377","0","0","1311.0069964141283","1311.0069964141283","0","0","0.01871513709377859","1","1","0","1","1","0","100","0.08983010028225401","100","0","1","1","0","0"
"29","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","146","42.26396925856056","28.540428116986245","0.1585579339832569","28.540428116986245","0","0.1585579339832569","0","26.32136236707408","26.32136236707408","0","0","1919.3918536856984","1919.3918536856984","0","0","0.036057106755899015","0","0","0","0","0","0","0","0.08538402216287587","100","0","1","1","0","0"
