"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H002_batch3_repeated_stress"
"07/03/2026 09:44:30:989 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"12","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","21.906521354670517","88.05333849000421","0.4891852138333567","88.05333849000421","0","0.4891852138333567","0","5635.594193600238","5635.594193600238","0","0","834.0590042298503","834.0590042298503","0","0","0.018120036267929462","1","1","0","1","1","0","100","0.06595660834768498","100","0"
"13","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","23.726864357112888","84.57779613855513","0.46987664521419514","84.57779613855513","0","0.46987664521419514","0","12881.588228061204","12881.588228061204","0","0","692.7835808964957","692.7835808964957","0","0","0.010018607478751385","1","1","0","1","1","0","100","0.0902510832045682","100","0"
"9","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","26","10.039603793131917","84.53496784521555","0.46963871025119747","84.53496784521555","0","0.46963871025119747","0","842.3009563207582","842.3009563207582","0","0","734.1624301200408","734.1624301200408","0","0","0.024524206242189983","0.3072374865201122","0.3072374865201122","0","0.22820063754717218","0.22820063754717218","0","100","0.08457080858788396","100","0"
"14","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","13.586822287356327","89.69825882398051","0.49832366013322504","89.69825882398051","0","0.49832366013322504","0","761.2367286680358","761.2367286680358","0","0","874.2315985123786","874.2315985123786","0","0","0.018532996729837103","0.20922735778600313","0.20922735778600313","0","0.17415781911202402","0.17415781911202402","0","100","0.08324389506617247","100","0"
"16","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","12.733925374136035","88.54870795541315","0.49193726641896196","88.54870795541315","0","0.49193726641896196","0","871.1320546827031","871.1320546827031","0","0","823.4043037080759","823.4043037080759","0","0","0.01562595125197408","0.2911501698145102","0.2911501698145102","0","0.24742136978846876","0.24742136978846876","0","100","0.08077180476923444","100","0"
"15","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","36","14.278946096242677","89.10914707489941","0.4950508170827745","89.10914707489941","0","0.4950508170827745","0","1069.943145991918","1069.943145991918","0","0","616.8672192689342","616.8672192689342","0","0","0.01982602082969831","0.43237336008630384","0.43237336008630384","0","0.3799620973279453","0.3799620973279453","0","100","0.07496595206891836","100","0"
"18","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","13.460339905143044","77.51301943309086","0.43062788573939365","77.51301943309086","0","0.43062788573939365","0","3097.0284028472965","3097.0284028472965","0","0","729.3899251689346","729.3899251689346","0","0","0.019841129335854912","1","1","0","1","1","0","100","0.05836111272189106","100","0"
"17","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","13.28857728754437","95.39266687177518","0.529959260398751","95.39266687177518","0","0.529959260398751","0","1492.8524659177388","1492.8524659177388","0","0","627.4759850788712","627.4759850788712","0","0","0.013620605944881348","0.7234680351913587","0.7234680351913587","0","0.661901643945159","0.661901643945159","0","100","0.09083666670526148","100","0"
"19","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","13.177022005952765","86.95092987841659","0.48306072154675883","86.95092987841659","0","0.48306072154675883","0","739.4195838169312","739.4195838169312","0","0","623.2247800403","623.2247800403","0","0","0.018786906808792914","0.20487639259817797","0.20487639259817797","0","0.1596130558779542","0.1596130558779542","0","100","0.07102094115683368","100","0"
"20","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","16.396319603582285","94.04184274684926","0.5224546819269403","94.04184274684926","0","0.5224546819269403","0","823.381794203405","823.381794203405","0","0","602.5011418700757","602.5011418700757","0","0","0.016692418052705493","0.2755272513701079","0.2755272513701079","0","0.21558786280226971","0.21558786280226971","0","100","0.08475945777005553","100","0"
