"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H001_batch2_proportion_sweep_full"
"07/03/2026 09:43:13:242 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"23","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","111","15.38283283220619","87.32831058053665","0.4851572810029814","87.32831058053665","0","0.4851572810029814","0","11.286803006477118","11.286803006477118","0","0","1083.4807365963836","1083.4807365963836","0","0","0.08329248579945592","0","0","0","0","0","0","0","0.10448241300427476","100","0"
"24","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","76","13.959890527925822","78.17320202118881","0.4342955667843823","78.17320202118881","0","0.4342955667843823","0","11.49267165414466","11.49267165414466","0","0","1138.1220587637386","1138.1220587637386","0","0","0.09708552515292324","0","0","0","0","0","0","0","0.08020333180526328","100","0"
"25","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","14.771127552208654","86.60060368909049","0.48111446493939164","86.60060368909049","0","0.48111446493939164","0","11.271985141963293","11.271985141963293","0","0","1001.3540051788128","1001.3540051788128","0","0","0.0836247421592029","0","0","0","0","0","0","0","0.07696571880169192","100","0"
"26","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","20.916328049029318","91.89407149672596","0.5105226194262553","91.89407149672596","0","0.5105226194262553","0","11.045205785468712","11.045205785468712","0","0","950.7980082754808","950.7980082754808","0","0","0.08257810279505784","0","0","0","0","0","0","0","0.0887788398100656","100","0"
"27","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","15.263857143372832","86.33538510973207","0.4796410283874004","86.33538510973207","0","0.4796410283874004","0","11.221669458496184","11.221669458496184","0","0","1126.7974096243497","1126.7974096243497","0","0","0.08089605756698548","0","0","0","0","0","0","0","0.09098672128929462","100","0"
"28","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","881","24.96637057174341","83.33036748072651","0.46294648600403615","83.33036748072651","0","0.46294648600403615","0","11.533399585898884","11.533399585898884","0","0","996.6464673425519","996.6464673425519","0","0","0.08211714825242611","0","0","0","0","0","0","0","0.0902603190747537","100","0"
"30","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","531","16.867167976421115","101.05362282997756","0.5614090157220976","101.05362282997756","0","0.5614090157220976","0","11.494550657795083","11.494550657795083","0","0","1169.1956395800744","1169.1956395800744","0","0","0.09185217540371915","0","0","0","0","0","0","0","0.07519570599954724","100","0"
"29","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","10.113731826406521","82.83297550550309","0.46018319725279494","82.83297550550309","0","0.46018319725279494","0","11.48571014337073","11.48571014337073","0","0","1220.5952555732886","1220.5952555732886","0","0","0.10032804858855604","0","0","0","0","0","0","0","0.08538402216287587","100","0"
"31","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0.1","3000","0","9.921319329695123","84.57725960551846","0.4698736644751026","85.36666714077946","64.99720437349055","0.4742592618932192","0.3610955798527253","12.081660464305504","10.985707386795799","21.945238161892846","0.5005964075556083","1533.7946965401115","933.9567756122134","6932.335984891189","0.13472468409605987","0.1484576330385201","0","0","0","0","0","0","0","0.08983010028225401","90","10"
"33","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0.1","3000","23","19.027789230924625","97.66128052057068","0.542562669558726","97.12558168324215","102.07875936919093","0.5395865649069008","0.5671042187177274","12.02837823106079","11.178980600035208","19.67295691029104","0.5682409945292674","1738.6503709911076","1149.5304515057626","7040.729646359204","0.16326865385325376","0.1275827781833767","0","0","0","0","0","0","0","0.0836018324030506","90","10"
