"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H003_batch4_mixed_regime"
"07/03/2026 09:45:00:115 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","ai-proportion","human-regime-bias-mean","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"23","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","9.182805634103943","86.72543653297672","0.4818079807387595","86.72543653297672","0","0.4818079807387595","0","11.41329992234309","11.41329992234309","0","0","1150.0116007920738","1150.0116007920738","0","0","0.0785457965885481","0","0","0","0","0","0","0","0.10448241300427472","100","0","0.0719529366438071","0.0719529366438071","0","0.010438040676278394"
"24","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","46","18.51212431387262","75.0014675310229","0.41667481961679387","75.0014675310229","0","0.41667481961679387","0","11.356997882606159","11.356997882606159","0","0","1201.0464779707183","1201.0464779707183","0","0","0.09491817334546737","0","0","0","0","0","0","0","0.08020333180526332","100","0","0.0568339864357986","0.0568339864357986","0","0.007071760870220921"
"18","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","9.70610835495846","88.68691186460957","0.4927050659144976","88.68691186460957","0","0.4927050659144976","0","11.12229374718654","11.12229374718654","0","0","1066.3868164340095","1066.3868164340095","0","0","0.08622420083365645","0","0","0","0","0","0","0","0.05836111272189108","100","0","0.05191218864952554","0.05191218864952554","0","0.005617224450836206"
"21","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","6","13.868736968806132","96.46628292329206","0.5359237940182892","96.46628292329206","0","0.5359237940182892","0","11.09722137947726","11.09722137947726","0","0","1149.9574457940346","1149.9574457940346","0","0","0.07973128743794655","0","0","0","0","0","0","0","0.07671127065102423","100","0","0.06546583906157988","0.06546583906157988","0","0.00832262721155457"
"27","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","10.416951300019122","82.57931938542806","0.4587739965857115","82.57931938542806","0","0.4587739965857115","0","11.29366838413831","11.29366838413831","0","0","1196.953052039641","1196.953052039641","0","0","0.07822352468520166","0","0","0","0","0","0","0","0.0909867212892946","100","0","0.05983757497296061","0.05983757497296061","0","0.007849132967215023"
"25","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","66","15.156495955968253","85.78786771314533","0.47659926507302963","85.78786771314533","0","0.47659926507302963","0","11.310647976412529","11.310647976412529","0","0","1038.8141466249942","1038.8141466249942","0","0","0.09054956288114191","0","0","0","0","0","0","0","0.07696571880169191","100","0","0.06158269825497457","0.06158269825497457","0","0.006167663347482233"
"26","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","96","13.738968806694217","92.47008951290717","0.5137227195161509","92.47008951290717","0","0.5137227195161509","0","11.299424012569743","11.299424012569743","0","0","983.5536117474483","983.5536117474483","0","0","0.09479173185571343","0","0","0","0","0","0","0","0.0887788398100656","100","0","0.06278493179755283","0.06278493179755283","0","0.007364024809043312"
"28","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","346","19.56429649407113","79.05709085192271","0.4392060602884595","79.05709085192271","0","0.4392060602884595","0","11.322209492219331","11.322209492219331","0","0","1151.0727508471302","1151.0727508471302","0","0","0.09621281098435852","0","0","0","0","0","0","0","0.09026031907475368","100","0","0.06495391692931082","0.06495391692931082","0","0.00972232598949924"
"29","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","101","12.250228991983647","92.94765710524958","0.5163758728069421","92.94765710524958","0","0.5163758728069421","0","11.610473056721773","11.610473056721773","0","0","1251.2695411459777","1251.2695411459777","0","0","0.1028564587680374","0","0","0","0","0","0","0","0.08538402216287586","100","0","0.05840162104717442","0.05840162104717442","0","0.007736071328508639"
"31","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","401","21.44084331926861","88.95577083935359","0.4941987268852977","88.95577083935359","0","0.4941987268852977","0","11.278385819114128","11.278385819114128","0","0","1071.518991385896","1071.518991385896","0","0","0.09603202409226097","0","0","0","0","0","0","0","0.08983010028225401","100","0","0.25094771655963594","0.25094771655963594","0","0.018830943638248266"
"30","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","321","21.883307298532344","95.43456356794975","0.5301920198219431","95.43456356794975","0","0.5301920198219431","0","11.550220836670684","11.550220836670684","0","0","1244.057320013079","1244.057320013079","0","0","0.08892037458026159","0","0","0","0","0","0","0","0.07519570599954722","100","0","0.07342584426827448","0.07342584426827448","0","0.009201530509278676"
"32","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","266","24.81135101324348","106.76402206901366","0.5931334559389648","106.76402206901366","0","0.5931334559389648","0","11.71383551143005","11.71383551143005","0","0","1435.7229218925452","1435.7229218925452","0","0","0.09894131627597313","0","0","0","0","0","0","0","0.08682592669052543","100","0","0.2536356413265291","0.2536356413265291","0","0.021044661656402383"
"37","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","0","11.730197880720766","98.8255489617584","0.5490308275653244","98.8255489617584","0","0.5490308275653244","0","11.57410283261444","11.57410283261444","0","0","1303.4515274560436","1303.4515274560436","0","0","0.08927806456625231","0","0","0","0","0","0","0","0.07969512727071315","100","0","0.2748620431785636","0.2748620431785636","0","0.021424670186419952"
"34","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","0","18.923584521405786","92.33790814259861","0.5129883785699922","92.33790814259861","0","0.5129883785699922","0","11.656837047864423","11.656837047864423","0","0","1386.2827481934153","1386.2827481934153","0","0","0.10173784408285891","0","0","0","0","0","0","0","0.07959195683203642","100","0","0.26193065728553416","0.26193065728553416","0","0.017401920987235333"
"36","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","171","17.401202962105515","69.2489686891801","0.3847164927176672","69.2489686891801","0","0.3847164927176672","0","11.038031730322885","11.038031730322885","0","0","1110.6004378940704","1110.6004378940704","0","0","0.08252315272080057","0","0","0","0","0","0","0","0.0869244912719977","100","0","0.24193368312166202","0.24193368312166202","0","0.02177502592162509"
"33","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","381","24.327315679854635","108.49333270055287","0.6027407372252938","108.49333270055287","0","0.6027407372252938","0","11.429042723395959","11.429042723395959","0","0","1288.231699591805","1288.231699591805","0","0","0.09906330095297222","0","0","0","0","0","0","0","0.08360183240305062","100","0","0.24680083743595635","0.24680083743595635","0","0.022876214247630113"
"35","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","0","13.101395047112376","81.06961055739654","0.4503867253188697","81.06961055739654","0","0.4503867253188697","0","11.490782389513688","11.490782389513688","0","0","1242.8588561117049","1242.8588561117049","0","0","0.09320868476015942","0","0","0","0","0","0","0","0.08061697492148887","100","0","0.2667037909307144","0.2667037909307144","0","0.0195825972114224"
"38","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0.25","3000","116","24.654216680353258","59.24733335979486","0.3291518519988603","59.24733335979486","0","0.3291518519988603","0","11.25114644516285","11.25114644516285","0","0","1300.7213329452638","1300.7213329452638","0","0","0.08633985653466358","0","0","0","0","0","0","0","0.08874082982445464","100","0","0.24369113884099222","0.24369113884099222","0","0.01914839014152379"
