"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H001_batch2_proportion_sweep_full"
"07/03/2026 09:28:48:851 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"21","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","776","16.813839187340932","98.16563626644933","0.5453646459247184","98.16563626644933","0","0.5453646459247184","0","11.440746630833305","11.440746630833305","0","0","1010.4743608329486","1010.4743608329486","0","0","0.09190759851359931","0","0","0","0","0","0","0","0.08876511784649463","100","0"
"24","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","566","14.658606084415283","97.32002626912963","0.5406668126062757","97.32002626912963","0","0.5406668126062757","0","11.345787170614972","11.345787170614972","0","0","982.0231909003828","982.0231909003828","0","0","0.0886567857284517","0","0","0","0","0","0","0","0.09578382218291996","100","0"
"25","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","401","24.535101563655033","73.4212126391997","0.40789562577333166","73.4212126391997","0","0.40789562577333166","0","11.060661410753493","11.060661410753493","0","0","996.4119272900369","996.4119272900369","0","0","0.07766408676725023","0","0","0","0","0","0","0","0.07814183055587672","100","0"
"26","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","256","23.509608449316374","98.8185804850456","0.5489921138058089","98.8185804850456","0","0.5489921138058089","0","11.374638934520776","11.374638934520776","0","0","1116.1484597573606","1116.1484597573606","0","0","0.08332294577897081","0","0","0","0","0","0","0","0.07479822715823639","100","0"
"27","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","22.63483314305317","85.56648092878389","0.4753693384932438","85.56648092878389","0","0.4753693384932438","0","11.561850938937548","11.561850938937548","0","0","1183.9510841868023","1183.9510841868023","0","0","0.08921995718668141","0","0","0","0","0","0","0","0.09317941064808713","100","0"
"28","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","6","18.548070102268866","108.05932343715092","0.6003295746508385","108.05932343715092","0","0.6003295746508385","0","11.25676319385044","11.25676319385044","0","0","1096.3150979113068","1096.3150979113068","0","0","0.07931173371377143","0","0","0","0","0","0","0","0.08703073576764539","100","0"
"29","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","13.59605749294954","83.37736829338895","0.4632076016299386","83.37736829338895","0","0.4632076016299386","0","11.6398015427562","11.6398015427562","0","0","1200.092737700579","1200.092737700579","0","0","0.10196271492458941","0","0","0","0","0","0","0","0.07892296389547723","100","0"
"30","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","9.701376689787395","81.12531503129647","0.45069619461831373","81.12531503129647","0","0.45069619461831373","0","11.253650795308067","11.253650795308067","0","0","1171.6793471246713","1171.6793471246713","0","0","0.08676157326304046","0","0","0","0","0","0","0","0.0774678143008092","100","0"
"31","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0.1","3000","0","9.501024403992005","92.4047148330973","0.5133595268505405","90.90520813638895","92.30042618690916","0.5050289340910498","0.5127801454828287","12.019858431585822","11.358978417567823","17.967778557747845","0.6321860201616154","1212.3393253681988","1037.4749967852686","2786.118282614573","0.37237291871602535","0.12329158519257533","0","0","0","0","0","0","0","0.07667454949697229","90","10"
"32","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0.1","3000","0","9.893666150504274","90.74673486542586","0.5041485270301437","86.02038128373808","126.97401840047212","0.4778910071318782","0.7054112133359562","11.86667582993624","11.201222206675611","17.855758439281907","0.6273170778359882","1467.3033523469308","1094.1506165799703","4825.677974249574","0.22673510798244226","0.11209937556551797","0","0","0","0","0","0","0","0.08321116409176602","90","10"
